seed,kg_frac,drop_frac,inject_frac,triples,nodes,edges,auc,f1,slice_time_s,run_time_s,peak_rss_mb
43,0.5,0.05,0.0,478878,26085,76507,1.0,0.9966555183946488,8.533339700006763,3.34387670000433,2152.51953125
43,0.5,0.1,0.0,477209,25963,74838,1.0,0.9933774834437086,11.559410300003947,6.759170799996355,2083.3203125
43,0.75,0.0,0.0,497153,27483,94782,0.9998666666666666,0.9966777408637874,10.299868500005687,4.361849900000379,2142.67578125
43,0.75,0.05,0.0,494596,27306,92225,0.9999555555555555,0.9933774834437086,9.996951299995999,5.751820300007239,2087.1796875
43,0.75,0.1,0.0,492156,27180,89785,0.9996444444444444,0.9966777408637874,8.848026099993149,5.083861799997976,2150.625
43,1.0,0.0,0.0,513435,28180,111064,0.9999111111111111,0.9933333333333333,10.230006500001764,4.4712744999997085,2155.34375
43,1.0,0.05,0.0,510156,28060,107785,1.0,0.9966777408637874,11.124750199989649,4.02450559999852,2147.83203125
43,1.0,0.1,0.0,506877,27941,104506,1.0,0.9966777408637874,8.790615800011437,3.822545100003481,2146.43359375
44,0.25,0.0,0.0,464214,23987,61843,0.9992888888888889,0.9801324503311258,9.610682000013185,3.2380359999951907,2132.55859375
44,0.25,0.05,0.0,463528,23911,61157,0.9979111111111112,0.9733333333333334,8.73564020000049,3.2159175999986473,2138.390625
44,0.25,0.1,0.0,462539,23660,60168,0.9976,0.9900990099009901,8.584303100011311,3.2363325000042096,2126.79296875
44,0.5,0.0,0.0,480708,26323,78337,1.0,0.9966777408637874,9.331855399999768,5.180902099993546,2064.4375
44,0.5,0.05,0.0,478983,26090,76612,0.9993777777777778,0.9834983498349835,7.912647899996955,3.5222568000026513,2127.09765625
44,0.5,0.1,0.0,477216,25967,74845,0.9992444444444444,0.9866666666666667,8.451018200008548,3.400154000002658,2126.953125
44,0.75,0.0,0.0,496918,27451,94547,0.9991111111111111,0.98,9.72528759999841,3.6503197999991244,2130.94140625
44,0.75,0.05,0.0,494586,27285,92215,0.9999555555555555,0.9933774834437086,8.696456000005128,3.5791024999925867,2131.51953125
44,0.75,0.1,0.0,492146,27186,89775,0.9996888888888888,0.9899665551839465,8.699572199999238,5.161760500006494,2055.890625
44,1.0,0.0,0.0,513435,28180,111064,0.9997777777777778,0.9933333333333333,8.030164700001478,3.964170799998101,2129.22265625
44,1.0,0.05,0.0,510156,28062,107785,0.9997777777777778,0.9900332225913622,10.032320799989975,3.8541335000045365,2126.26171875
44,1.0,0.1,0.0,506877,27928,104506,0.9999111111111111,0.9966777408637874,9.1211256999959,3.7703286000032676,2150.12109375
45,0.25,0.0,0.0,464331,24032,61960,0.9988888888888889,0.9832775919732442,8.729276300000492,3.28265230001125,2142.625
45,0.25,0.05,0.0,463350,23894,60979,0.9999555555555555,0.9933333333333333,13.158942299996852,8.223891500005266,2135.8046875
45,0.25,0.1,0.0,462393,23652,60022,0.9998666666666667,0.9900332225913622,10.739974700001767,3.283220400000573,2152.70703125
45,0.5,0.0,0.0,480691,26267,78320,0.9998222222222223,0.9933774834437086,8.631170099994051,3.416341600008309,2144.28515625
45,0.5,0.05,0.0,479118,26153,76747,0.9980888888888889,0.9802631578947368,8.520737600003486,5.153317800009972,2079.33984375
45,0.5,0.1,0.0,477559,25972,75188,0.999688888888889,0.9900332225913622,7.878483899999992,3.4177955000050133,2146.05078125
